Arc	Matlab	
53700	63425	Bailey
1167075	734200	Byrd
9675	13775	Carlson
161175	458075	Cook & Ninnis
281050	206850	David
192349.999	289150	Denman
107900	107600	Evans
52650	111100	Foundation
142525	162925	Institute
121275	112575	Jutulstraumen
922775	1259200	Lambert
51399.999	64850	Mertz
106624.999	167100	Mulock
142049.999	143975	Pine Island Glacier
102999.999	105350	Rayner
109024.999	604575	Recovery
841950	798900	Ross Ice Shelf 1
270525	73325	Rutford
119149.999	164125	Scott
285800	175875	Shirase
49025	391350	Slessor
74850	83775	Stancomb-Wills
233875	498175	Support-Force
453325	224350	Thwaites
82724.999	391700	Totten
